study_accession	verdict	confidence	body_site_signal	evidence	reasoning	clade	paper_title	old_verdict	tier
PRJEB17686	NOT_TARGET	high	inferred	Study is explicitly about lycaenid butterflies (Lycaenidae family), not lizards. The tagged clade is 'Lizards' but all hosts listed are butterflies from the family Lycaenidae. The biome label states 'insect gut metagenome', confirming this is an insect gut study, not a reptile/lizard study.	The tagged animal (lizards) is not present in this study; the study is entirely about butterfly gut microbiomes, making lizards incidental (absent) rather than a genuine subject.	Lizards	Microbial communities of lycaenid butterflies do not correlate with host diet	KEEP	EXCLUDED
PRJEB25617	NOT_TARGET	high	explicit	The study is a large multi-host survey examining 'chemical and microbial transitions across urbanization' with 10+ host species (Homo sapiens, Canis lupus familiaris, Felis catus, Gallus gallus, Testudines, and others) and multiple body sites (skin, oral, nasopharyngeal, feces, areola). While gut metagenome and feces are listed among biome labels, the dominant hosts and focus appear to be humans and common domestic/peridomestic animals in an urban microbiome context. Testudines (turtles/tortoises) are one of many incidental hosts in a broad environmental/household microbiome survey, not a primary study subject.	This is a broad urbanization-focused multi-host microbiome survey where Testudines represent an incidental minor host among primarily human and domestic animal subjects, making it not a targeted gut study of the tagged clade.	Turtles and tortoises	Home chemical and microbial transitions across urbanization	KEEP	EXCLUDED
PRJEB11419	NOT_TARGET	high	explicit	The paper title is 'Biosynthetic potential of the global ocean microbiome' - this is an ocean microbiome study, not an animal gut study. While Testudines (turtles) are listed among many hosts (Canis lupus familiaris, Felis catus, Homo sapiens, and others), the abstract and title indicate this is primarily about ocean microbiome biosynthesis. Turtles appear incidental to a large multi-host survey.	This is a global ocean microbiome study where the turtle samples are incidental to the primary focus on marine microbial biosynthetic potential, making Testudines a trace host rather than a genuine target.	Turtles and tortoises	American Gut Project	KEEP	EXCLUDED
PRJNA931656	NOT_GUT	high	explicit	Biome label explicitly states 'skin metagenome', not gut/intestinal/fecal material	This is a metagenomics study of amphibian skin microbiome, not gut microbiome.	Amphibians (all)		DROP	EXCLUDED
PRJNA889361	GUT_WGS	medium	explicit	Biome labels explicitly list 'gut metagenome' as one of the two body sites studied (alongside skin metagenome); title focuses on amphibian hosts as the primary subject; study is not flagged as multi-host survey	This is a shotgun metagenomic study of amphibian microbiomes that explicitly includes gut metagenome samples, with amphibians as the genuine research focus rather than incidental hosts.	Amphibians (all)	Urbanization increases stochasticity and reduces the ecological stability of microbial communities in amphibian hosts	KEEP	CONFIRMED_GUT
PRJNA999620	NOT_GUT	high	explicit	Paper title explicitly states 'amphibian skin microbiome samples' and biome label specifies 'amphibian metagenome' with no mention of gut or intestinal sites.	This is a metagenomics study of amphibians (frogs/toads), but it targets the skin microbiome, not the gut microbiome.	Frogs and toads	bacterial 16S sequences from amphibian skin microbiome samples Metagenome	DROP	EXCLUDED
PRJNA835803	GUT_WGS	high	explicit	Paper title explicitly states 'Fish gut microbiota' and biome label explicitly lists 'fish gut metagenome'; host organism is Actinopterygii (ray-finned fish), which matches the tagged clade.	This is a shotgun metagenomic study of fish gut microbiota where the tagged animal (ray-finned fish) is the primary subject, with explicit gut site designation.	Ray-finned fish (broad)	Fish gut microbiota from Gyaros Island, Greece	KEEP	CONFIRMED_GUT
PRJNA1156918	NOT_METAGENOMIC	high	none	Title explicitly states 'metabarcoding' which is amplicon-based sequencing, not shotgun/WGS metagenomics. Metabarcoding targets specific genetic markers (typically 16S, 18S, or COI) rather than whole-genome sequencing.	This is a metabarcoding study (amplicon-based) focused on genetic diversity monitoring in fish populations, not shotgun/WGS metagenomic analysis, and no gut body site is indicated.	Ray-finned fish (broad)	Pac bio metabarcoding for monitoring genetic diversity in fish populations	MANUAL_REVIEW	EXCLUDED
PRJNA746569	NOT_GUT	high	none	Title states 'Microscopic Marine Invertebrate Microbiomes' with biome labels including 'macroalgae metagenome; seawater metagenome; sediment metagenome' — no mention of gut, intestinal, or fecal material. The study encompasses 20 different marine invertebrate phyla with no body site specification, indicating environmental/surface microbiomes rather than internal gut samples.	This is a broad survey of marine invertebrate microbiomes from environmental sources (seawater, sediment, macroalgae), not gut-specific metagenomics of any single animal.	Molluscs (broad)	Microscopic Marine Invertebrate Microbiomes	DROP	EXCLUDED
PRJNA244498	UNCERTAIN	low	none	Title mentions 'Intestinal nematodes identification' suggesting gut-associated parasites, but biome labels list primarily nematode taxa (Caenorhabditis elegans, Crenosoma vulpis, etc.) rather than microbiome organisms. No host organism, body site, or methodology information provided. No abstract available.	Insufficient metadata to determine if this is a shotgun/WGS metagenomic study of animal gut microbiota versus a parasitology or taxonomic identification study of intestinal nematodes themselves.	Gastropods (beyond current)	Intestinal nematodes identification	KEEP	REVIEW
