study_accession	study_title	study_description
PRJDB10829	Generic sample from human gut metagenome	Total microbial community DNA was isolated from the fecal samples of Japanese patients who underwent colonoscopy at National Cancer Research Center. The study population contains CRC and postoperative patients.
PRJDB14208	Relationship between Ureaplasma in gastric fluid of neonates with respiratory distress and chorioamnionitis	For neonates hospitalized to the neonatal intensive care unit, respiratory distress is common. Infectious disorder may causes the disease although pathogens in are often unable to be diagnosed. Neonates with respiratory distress were prospectively recruited. Microbial DNA in plasma and gastric fluid samples were analyzed using next-generation sequencing (NGS). The human genome sequences were excluded from all FastQ. Thirty plasma and 25 gastric fluid samples from 30 neonates were analyzed. Eight cases of chorioamnionitis were pathologically diagnosed. Putative pathogens were not detected in all plasma samples. The neonates were divided into three groups based on the characteristics of the gastric fluid, and the rate of chorioamnionitis was significantly higher in the group in which Ureaplasma was indicator genus. In neonates with respiratory distress, gastric fluid was more useful as a sample than plasma. Early detection of intra-amniotic infections due to Ureaplasma using gastric fluid may influence the treatment strategy for neonates with respiratory distress.
PRJEB41787	Healthy danish metagenomic samples from Danish study of Functional Disorders	"Healthy danish metagenomic samples from Danish study of Functional Disorders included in study ""Alteration of gut microbiome in patients with schizophrenia indicates links between bacterial tyrosine biosynthesis and cognitive dysfunction"" referenced under PRJEB41217 accession number."
PRJEB58777	Overcoming donor variability and risks associated with fecal microbiota transplants through bacteriophage-mediated treatments	Background: Fecal microbiota transplantation (FMT) and fecal virome transplantation (FVT, sterile filtrated donor feces) have been effective in treating recurrent Clostridioides difficile infections, possibly through bacteriophage-mediated modulation of the gut microbiome. However, challenges like donor variability, costly screening, coupled with concerns over pathogen transfer (incl. eukaryotic viruses) with FMT or FVT hinders their wider clinical application in treating less acute diseases. Methods: To overcome these challenges, we developed methods to broaden FVT's clinical application while maintaining efficacy and increasing safety. Specifically, we employed the following approaches: 1) Chemostat-fermentation to reproduce the bacteriophage FVT donor component and remove eukaryotic viruses (FVT-ChP), 2) solvent-detergent treatment to inactivate enveloped viruses (FVT-SDT), and 3) pyronin-Y treatment to inhibit RNA-virus replication (FVT-PyT). We assessed the efficacy of these processed FVTs in a C. difficile infection mouse model and compared them with untreated FVT (FVT-UnT), FMT, and saline. Results: FVT-SDT, FVT-UnT, and FVT-ChP reduced the incidence of mice reaching the humane endpoint (0/8, 2/7, and 3/8, respectively) compared to the FMT, FVT-PyT, and saline control (5/8, 7/8, and 5/7, respectively) and significantly reduced the load of colonizing C. difficile cells and toxin A/B levels. There was a potential elimination of C. difficile colonization, with 7 out of 8 mice treated with FVT-SDT testing negative with qPCR. In contrast, all other treatments exhibited the continued presence of C. difficile. Moreover, the results were supported by changes in the gut microbiome profiles, cecal cytokine levels and histopathological findings. Assessment of viral engraftment following FMT/FVT treatment and host-phage correlations analysis suggested that transfer of phages likely were an important contributing factor associated with treatment efficacy. Conclusions: This proof-of-concept study show that specific modifications to FVT hold promise in addressing challenges related to donor variability and infection risks. Two strategies lead to treatments significantly limiting C. difficile colonization in mice, with solvent/detergent treatment and chemostat-propagation emerging as promising approaches.
PRJEB62607	zoo microbiome	Functionality of intestinal microbiota depends on diet and gut physiology how these factors contribute to the occurrence of specific microbiota activities has not been completely revealed. Microbial pdu and cbi-cob-hem clusters encode the key enzyme glycerol/diol dehydratase (PduCDE) that mediates the transformation of dietary nutrients glycerol to 1,3-propanediol and 1,2-propanediol to propionate, and enzymes for cobalamin synthesis, a co-factor and shared good of microbial communities. We aimed to investigate whether Pdu related traits of intestinal microbiota are associated with diet and gut physiology via genetic and metabolic biomarkers. We analyzed fecal samples of 55 species (n=104) from Mammalia and Aves class using a novel approach combining metagenomics with quantification of genetic biomarkers in fecal samples and metabolic biomarkers during in vitro fermentation. Microbial diversity was evaluated via phylogenetic analysis of MAGs assembled from metagenomic sequencing of animal fecal samples and discovered > 1800 novel metagenomes of unknown species . Occurence and activity of pdu/cbi-cob-hem was identified as a common feature of animal microbiota while few taxa (58/5040 metagenomic assembled genomes) harbored pdu operon. Higher amounts of 1,3-propanediol and propionate produced by hindgut-fermenting carnivores/omnivores in vitro were consistent with higher diversity and abundance of pdu/cbi-cob-hem profile in microbial communities. This trait-based study suggests gut physiology and diet direct the potential of gut microbiota to utilize glycerol/1,2-propanediol and to produce cobalamin with a higher occurrence in hindgut fermenters. Our approach combining metagenomics with phenotypic analysis enabled the prediction of a common function in animal fecal microbiota by metabolic and genetic biomarkers.
PRJNA1072233	fecal metagenome of pigs	fecal metagenome of growing pigs
PRJNA1205011	gut microbial community	cold-water fish gut microbial community
PRJNA400119	pig gut metagenome Metagenome	Metagenomic Analysis of Colonic Microbiome of Landrace Finishing Pigs with High and Low Feed Efficiency
PRJNA544874	Microbiome analysis of mice in association with graft-vs-host disease	The study was designed to determine what effect cohousing mice before and/or after hematopoietic stem cell transplant had on their susceptibility to GVHD. Three alternative experimental scenarios were used: cohousing pre- and post-transplant, pre-transplant only and post-transplant only. Faecal samples were collected pre- and post-cohousing and pre- and post-transplant. Metegenomic sequencing was used to assess bacterial community composition at each time point.
PRJNA786358	Intestinal microbiota sequencing of perinatal dairy cows	Explore postperinatal intestinal microbes
