study_accession	verdict	confidence	body_site_signal	evidence	reasoning	host_species	n_samples	library_source	library_strategy	paper_title	tier
PRJNA1218022	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The study uses AMPLICON sequencing (16S), not shotgun/WGS metagenomic sequencing, despite the metagenomic biome label and gut isolation source.	Chanos chanos	26	METAGENOMIC	AMPLICON	Gut microbiome composition and diversity of wild-caught and hatchery-bred milkfish (Chanos chanos) fry.	EXCLUDED
PRJNA1211045	GUT_WGS	high	explicit	Sample titles explicitly state 'feces metagenome' (e.g., 'Anisus feces metagenome Uk1'); library_strategy='WGS'; library_source='METAGENOMIC'; biome label='feces metagenome'.	Multiple explicit references to fecal samples combined with shotgun metagenomics methodology (WGS, metagenomic community DNA) from animal hosts (freshwater snails) confirm this is shotgun metagenomic analysis of an animal gut microbiome.	Bulinus sp.	15	METAGENOMIC	WGS	Freshwater snail faecal metagenomes reveal environmental reservoirs of antimicrobial resistance genes across two continents.	CONFIRMED_GUT
PRJNA1210771	GUT_WGS	high	explicit	Isolation source(s): 'gut sample 1; gut sample 13; gut sample 14; gut sample 15; gut sample 2; gut sample 3; gut sample 4; gut sample 5'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'; Paper title: 'Metabolic potentials of the gut microbes in Antarctic krill (Euphausia superba)'	The isolation source explicitly states 'gut sample' for all eight samples, library_source is METAGENOMIC, library_strategy is WGS (shotgun), and the paper title confirms gut microbiota analysis, meeting all criteria for GUT_WGS classification.	Euphausia superba	22	METAGENOMIC	WGS	Metabolic potentials of the gut microbes in Antarctic krill (Euphausia superba).	CONFIRMED_GUT
PRJNA1084222	GUT_WGS	high	explicit	Paper title: 'Intestinal microbial dysbiosis under nitrite stress in juvenile three-keeled pond turtles'; ENA study title: 'Metagenome or environmental sample from gut metagenome'; Biome label: 'gut metagenome'; Isolation source: 'intestinal microbial'; library_source: 'METAGENOMIC'; Host organism: Mauremys reevesii (animal)	Multiple explicit statements confirm shotgun metagenomic sequencing (METAGENOMIC library source) of an animal's gut microbiome (intestinal/gut metagenome from a turtle).	Mauremys reevesii	20	METAGENOMIC	OTHER	Intestinal microbial dysbiosis under nitrite stress in juvenile three-keeled pond turtles, Mauremys reevesii.	CONFIRMED_GUT
PRJNA1218276	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON; Sample title explicitly states 'Gut amplicon 16S metagenome sample'	This is a 16S amplicon study, not shotgun/WGS metagenomics, as indicated by the AMPLICON library strategy despite the metagenomic source classification.	Arsenura armida	1	METAGENOMIC	AMPLICON	Diversity and Functional Potential of Gut Bacteria Associated with the Insect Arsenura armida (Lepidoptera: Saturniidae).	EXCLUDED
PRJNA1148150	GUT_WGS	high	explicit	Paper title: 'Dietary impact on the gut resistome: western diet independently increases the prevalence of antibiotic resistance genes within the gut microbiota.' ENA study title: 'MIMS Environmental/Metagenome sample from mouse metagenome.' library_source: METAGENOMIC. library_strategy: WGS. Host organism: Mus musculus.	Paper title explicitly states 'gut resistome' and 'gut microbiota,' combined with shotgun metagenomic sequencing (WGS + METAGENOMIC library source) of mouse samples, definitively identifying this as a gut WGS metagenomic study.	Mus musculus	34	METAGENOMIC	WGS	Dietary impact on the gut resistome: western diet independently increases the prevalence of antibiotic resistance genes within the gut microbiota.	CONFIRMED_GUT
PRJEB89425	GUT_WGS	high	inferred	Paper title: 'Bacterial transmission within social groups shapes the underexplored gut microbiome in the lemur Indri indri.' Library_source: METAGENOMIC. Library_strategy: WGS. Host organism: lemur (Indri indri).	The paper title explicitly states 'gut microbiome' and the host is an animal (lemur); library_source and library_strategy confirm shotgun metagenomic sequencing, meeting all GUT_WGS criteria, though body site is inferred from the title rather than explicitly stated in metadata fields.		32	METAGENOMIC	WGS	Bacterial transmission within social groups shapes the underexplored gut microbiome in the lemur Indri indri.	CONFIRMED_GUT
PRJNA399458	GUT_WGS	medium	inferred	Paper title states 'gut microbiome in the lemur Indri indri'; library_source='GENOMIC' with library_strategy='WGS' indicates shotgun sequencing of community DNA; body site (gut) is stated in title but NOT in structured metadata fields (Host body site, Isolation source both empty).	The paper title explicitly mentions 'gut microbiome' and WGS of an animal, meeting criteria for GUT_WGS, but confidence is medium because body site is absent from structured ENA fields and only present in the paper title (inferred from context rather than explicitly recorded in sample metadata).	Indri indri	1	GENOMIC	WGS	Bacterial transmission within social groups shapes the underexplored gut microbiome in the lemur Indri indri.	CONFIRMED_GUT
PRJNA1229795	GUT_WGS	high	explicit	Isolation source(s): feces; Biome label(s): gut metagenome; library_strategy: WGS; library_source: METAGENOMIC; Host organism(s): Mus musculus	Fecal samples from mouse with shotgun metagenomic sequencing (WGS library strategy, METAGENOMIC library source) explicitly identifies this as a gut microbiome study.	Mus musculus	62	METAGENOMIC	WGS	Theabrownin combined with zearalenone suppresses colitis-associated colorectal cancer by inhibiting PI3K/AKT pathway and enhancing microbial propionate production.	CONFIRMED_GUT
PRJNA1244851	GUT_WGS	medium	inferred	Paper title: 'Profiling Bile Acids in the Stools of Humans and Animal Models of Cystic Fibrosis'; library_source: METAGENOMIC; library_strategy: WGS	The paper title explicitly mentions 'Stools' (fecal material) as the sample source and indicates animal models are included, and WGS metagenomic sequencing is confirmed, but no host organism species is explicitly stated so body site must be inferred from 'Stools' mention in the title.		36	METAGENOMIC	WGS	Profiling Bile Acids in the Stools of Humans and Animal Models of Cystic Fibrosis.	CONFIRMED_GUT
