study_accession	discrepancy_flags	discrepancy_host	discrepancy_host_missing	discrepancy_gut	discrepancy_multihost	discrepancy_notes	paper_title	host_species
PRJNA1283350	host_missing		paper names: Gallus gallus domesticus (Arbor Acres and Taoyuan chicken breeds); deposit blank/generic			Host species identification is missing from the deposit metadata; the paper studies chickens but the deposit host field is only generic 'metagenomes'.	Gut microbiota-derived taurolithocholic acid modulates myofiber-type switching via p38 MAPK/PGC-1α signaling underlying breed differences between Arbor Acres and Taoyuan chickens.	metagenomes
PRJNA656389	host_mismatch	paper: ruminant (general term) vs deposit: Bubalus bubalis (water buffalo, specific species)				No reporting errors detected. Paper describes ruminant gut archaeome; deposit correctly specifies water buffalo (Bubalus bubalis, a ruminant) with exclusively GI-tract sampling sources.	A metagenomic catalogue of the ruminant gut archaeome.	Bubalus bubalis
PRJEB58265	host_mismatch; multihost_issue	paper: wild-captured mammals (plural, multiple species in interspecific comparative study) vs deposit: Crocidura russula (single species in host field)			Deposit biome labels explicitly list two distinct host species: 'Apodemus sylvaticus' and 'Crocidura russula'. Paper presents this as a single interspecific comparative study but does not disambiguate which samples belong to which species at the sample level.	The deposit host field lists only Crocidura russula but biome labels explicitly name two distinct species (Apodemus sylvaticus and Crocidura russula), consistent with the paper's interspecific comparative design but with incomplete sample-level host attribution.	Mammals show distinct functional gut microbiome dynamics to identical series of environmental stressors.	Crocidura russula
PRJEB7774	host_missing		paper names: human; deposit blank/generic			Host metadata gap: the paper is clearly about humans, and deposit biome/sample titles confirm this, but the formal host field is empty.	Diversity and distribution of sulfur metabolic genes in the human gut microbiome and their association with colorectal cancer.	
PRJNA564888	multihost_issue				Deposit sample-level metadata explicitly lists 4 distinct host species: Callosciurus notatus, Rattus tanezumi, Sundamys annandalei, and Tupaia glis. Sample titles confirm each species separately (e.g., 'from Callosciurus notatus', 'from Rattus tanezumi', 'from Sundamys annandalei', 'from Tupaia glis'). Paper abstract does not explicitly name these individual species but presents the work as a general methodological study.	Multihost issue detected: deposit contains 4 explicitly distinct mammal species (Tupaia glis, Callosciurus notatus, Rattus tanezumi, Sundamys annandalei) in sample-level metadata, while paper presents work as a general methodological approach without naming individual host species.	Boosting natural history research via metagenomic clean-up of crowdsourced feces.	Tupaia glis
PRJEB79635	multihost_issue				Sample titles explicitly name two distinct host species: 'Blue Tit faecal metagenome' and 'Great Tit faecal metagenome'	Multihost issue detected: deposit sample metadata explicitly names two distinct bird species (blue tit and great tit) as separate samples, which should be flagged as a multihost dataset.	Faecal metagenomes of great tits and blue tits provide insights into host, diet, pathogens and microbial biodiversity.	bird metagenome
PRJEB5224	host_missing		paper names: humans (Chinese, Danish, Spanish populations); deposit blank/generic			Host species missing from structured deposit metadata despite clear evidence in sample titles and biome label that samples are from human subjects.	Changes in the Type 2 diabetes gut mycobiome associate with metformin treatment across populations.	
PRJNA590585	multihost_issue				Paper abstract explicitly states the study compared 'plateau pikas and yaks, two sympatric herbivorous mammals'. The deposit host field lists only 'plateau pika01', with host_species_list showing '(none)' and 0 distinct species. The deposit metadata does not explicitly capture the yak samples that are central to the paper's comparative analysis.	The deposit metadata appears incomplete: while 'plateau pika' is present, the yak samples central to the paper's comparative design are not explicitly documented in the deposit host or sample-level fields, indicating a potential multihost_issue.	Environment and host species identity shape gut microbiota diversity in sympatric herbivorous mammals.	plateau pika01
PRJNA721002	host_missing; multihost_issue		paper names: dogs and humans (Canis familiaris and Homo sapiens); deposit blank/generic		Paper title and abstract specify 'dogs and their owners' (two host species: Canis familiaris and Homo sapiens). Deposit sample-level metadata does not explicitly name these hosts, but the paper's own title and research design clearly indicate two distinct host species being sampled in parallel.	Host metadata is missing or insufficiently specific in the deposit (blank/generic 'feces metagenome' field) despite the paper clearly identifying two distinct host species (dogs and humans) in a comparative family study.	The co-occurrence of antibiotic resistance genes between dogs and their owners in families.	feces metagenome
PRJEB40990	multihost_issue				Deposit sample-level data explicitly lists three distinct host species: Coregonus lavaretus (European Whitefish), Oncorhynchus mykiss (rainbow trout), Salmo salar (Atlantic salmon) in biome labels and sample titles. Paper abstract presents these samples under the single umbrella term 'salmonid hosts' without specifying that three different fish species were sampled.	The study includes samples from three distinct salmonid host species (Atlantic salmon, rainbow trout, European whitefish) that are not clearly itemized in the paper abstract, which presents them under a single 'salmonid hosts' umbrella term.	Genome-resolved metagenomics suggests a mutualistic relationship between Mycoplasma and salmonid hosts.	Salmo salar
