study_accession	discrepancy_flags	discrepancy_host	discrepancy_host_missing	discrepancy_gut	discrepancy_multihost	discrepancy_notes
PRJNA379709						No reporting errors detected. This is a properly documented animal-model study of colorectal cancer using mice, with gut (cecal) samples appropriately recorded.
PRJNA1211805						No reporting errors detected. Paper and deposit are consistent on porcine host, fecal origin, and gut microbiome focus.
PRJEB41657						No data-quality issues detected; paper and deposit metadata are consistent and valid.
PRJNA385134						No reporting errors detected. Paper describes a mouse-model gut-microbiota study, and deposit correctly identifies all samples as Mus musculus fecal samples.
PRJNA715658						All metadata is consistent; chicken (Gallus gallus) gut microbiome study with appropriate host designation and sample classification.
PRJNA475246						No reporting errors detected; human infant gut microbiome study with consistent metadata across paper and deposit.
PRJNA389927						No data-quality issues detected. Paper and deposit are fully aligned on human gut microbiome sampling.
PRJNA398089						No reporting errors detected. Paper and deposit metadata are consistent: human IBD patients, gut samples from colon and associated sites.
PRJNA1283350	host_missing		paper names: Gallus gallus domesticus (Arbor Acres and Taoyuan chicken breeds); deposit blank/generic			Host species identification is missing from the deposit metadata; the paper studies chickens but the deposit host field is only generic 'metagenomes'.
PRJNA1227753						No reporting errors detected. Study correctly documents a murine asthma model with mouse gut microbiome samples; paper and deposit metadata are aligned.
PRJNA631951						No reporting errors detected. Paper describes a ruminant archaeome study; deposit correctly specifies Bos (cattle, a ruminant) with rumen samples.
PRJNA660443						Study PRJNA660443 shows full concordance between paper and deposit: human gut microbiome study with appropriate Homo sapiens host and gut-sourced samples.
PRJNA744213						No reporting errors detected. Paper describes a murine gut microbiome study; deposit correctly records Mus musculus as host with gut metagenome samples.
PRJNA788972						No reporting errors detected; paper and deposit metadata are fully consistent for a human gut microbiome study during seafaring expeditions.
PRJNA1125130						No reporting errors detected. Paper describes horse gut microbiota; deposit correctly identifies Equus caballus with no contradictions or missing critical metadata.
PRJNA1141391						No reporting errors detected. The mouse host in the deposit is appropriate for an animal model study of acute pancreatitis, a human disease.
PRJNA656389	host_mismatch	paper: ruminant (general term) vs deposit: Bubalus bubalis (water buffalo, specific species)				No reporting errors detected. Paper describes ruminant gut archaeome; deposit correctly specifies water buffalo (Bubalus bubalis, a ruminant) with exclusively GI-tract sampling sources.
PRJEB58265	host_mismatch; multihost_issue	paper: wild-captured mammals (plural, multiple species in interspecific comparative study) vs deposit: Crocidura russula (single species in host field)			Deposit biome labels explicitly list two distinct host species: 'Apodemus sylvaticus' and 'Crocidura russula'. Paper presents this as a single interspecific comparative study but does not disambiguate which samples belong to which species at the sample level.	The deposit host field lists only Crocidura russula but biome labels explicitly name two distinct species (Apodemus sylvaticus and Crocidura russula), consistent with the paper's interspecific comparative design but with incomplete sample-level host attribution.
PRJEB7774	host_missing		paper names: human; deposit blank/generic			Host metadata gap: the paper is clearly about humans, and deposit biome/sample titles confirm this, but the formal host field is empty.
PRJNA574033						No genuine reporting errors detected. Paper discusses mammalian (human) gut microbiota; deposit correctly specifies Homo sapiens. Metadata gaps exist (no explicit body-site/isolation-source fields) but do not contradict the paper's scope.
PRJNA564888	multihost_issue				Deposit sample-level metadata explicitly lists 4 distinct host species: Callosciurus notatus, Rattus tanezumi, Sundamys annandalei, and Tupaia glis. Sample titles confirm each species separately (e.g., 'from Callosciurus notatus', 'from Rattus tanezumi', 'from Sundamys annandalei', 'from Tupaia glis'). Paper abstract does not explicitly name these individual species but presents the work as a general methodological study.	Multihost issue detected: deposit contains 4 explicitly distinct mammal species (Tupaia glis, Callosciurus notatus, Rattus tanezumi, Sundamys annandalei) in sample-level metadata, while paper presents work as a general methodological approach without naming individual host species.
PRJEB79635	multihost_issue				Sample titles explicitly name two distinct host species: 'Blue Tit faecal metagenome' and 'Great Tit faecal metagenome'	Multihost issue detected: deposit sample metadata explicitly names two distinct bird species (blue tit and great tit) as separate samples, which should be flagged as a multihost dataset.
PRJEB70928						No reporting errors detected; paper and deposit are fully consistent on host identity (rhesus macaque, Macaca mulatta) and sample type (fecal/gut samples).
PRJEB55711						No genuine reporting errors detected. Paper and deposit are consistent: human gut virome study with appropriately labeled samples, despite sparse host metadata in the deposit's structured host field.
PRJEB5224	host_missing		paper names: humans (Chinese, Danish, Spanish populations); deposit blank/generic			Host species missing from structured deposit metadata despite clear evidence in sample titles and biome label that samples are from human subjects.
PRJNA590585	multihost_issue				Paper abstract explicitly states the study compared 'plateau pikas and yaks, two sympatric herbivorous mammals'. The deposit host field lists only 'plateau pika01', with host_species_list showing '(none)' and 0 distinct species. The deposit metadata does not explicitly capture the yak samples that are central to the paper's comparative analysis.	The deposit metadata appears incomplete: while 'plateau pika' is present, the yak samples central to the paper's comparative design are not explicitly documented in the deposit host or sample-level fields, indicating a potential multihost_issue.
