study_accession	verdict	confidence	body_site_signal	evidence	reasoning	host_species	n_samples	library_source	library_strategy	paper_title	tier
PRJNA909983	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The study uses AMPLICON sequencing strategy (16S), not shotgun/WGS metagenomics, despite the gut body site being explicitly stated in the title and biome labels.		33	METAGENOMIC	AMPLICON	Characterization of the Nero Siciliano Pig Fecal Microbiota after a Liquid Whey-Supplemented Diet.	EXCLUDED
PRJNA918387	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	Although the study targets gut microbiota (explicit fecal samples from mouse), the library_strategy is AMPLICON, not shotgun/WGS metagenomics, making this a 16S amplicon study rather than shotgun metagenomic study.	Mus musculus	38	METAGENOMIC	AMPLICON	TRPV6 deficiency attenuates stress and corticosterone-mediated exacerbation of alcohol-induced gut barrier dysfunction and systemic inflammation.	EXCLUDED
PRJEB29346	GUT_WGS	high	explicit	Paper title: 'Co-diversification of an intestinal Mycoplasma and its salmonid host'; library_source: 'METAGENOMIC'; host organism: Gadus morhua (Atlantic cod, a salmonid fish)	The paper title explicitly states 'intestinal Mycoplasma' indicating gut-associated microbiota, library_source is METAGENOMIC (shotgun community DNA), and the host is a salmonid fish (Atlantic cod), confirming this is a shotgun metagenomic study of fish gut microbiome.	Gadus morhua	57	METAGENOMIC	OTHER	Co-diversification of an intestinal Mycoplasma and its salmonid host.	CONFIRMED_GUT
PRJEB38061	UNCERTAIN	low	inferred	Paper title mentions 'intestinal Mycoplasma' and host is Salmo salar (Atlantic salmon, a fish); library_source=GENOMIC and library_strategy=WGS are stated. However, library_source=GENOMIC typically indicates single-organism sequencing, not metagenomic community DNA.	The paper title strongly suggests intestinal sampling of a fish host, but the metadata field library_source is marked GENOMIC (not METAGENOMIC), which contradicts a metagenomics classification and suggests this may be a single-organism genome study of the Mycoplasma itself rather than a community microbiome survey.	Salmo salar	489	GENOMIC	WGS	Co-diversification of an intestinal Mycoplasma and its salmonid host.	REVIEW
PRJEB59886	GUT_WGS	medium	inferred	Paper title: 'Co-diversification of an intestinal Mycoplasma and its salmonid host'; library_source: METAGENOMIC; library_strategy: WGS; host organism: Salmo salar (salmon)	The paper title explicitly mentions 'intestinal Mycoplasma' indicating gut-associated microbiome study, combined with confirmed shotgun metagenomic method (WGS + METAGENOMIC source) on a salmonid host, but body site is not stated in metadata fields and must be inferred from title.	Salmo salar	76	METAGENOMIC	WGS	Co-diversification of an intestinal Mycoplasma and its salmonid host.	CONFIRMED_GUT
PRJNA894380	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON; library_source: METATRANSCRIPTOMIC	The study used AMPLICON sequencing strategy (not WGS/shotgun) and METATRANSCRIPTOMIC library source (RNA, not community DNA), making it ineligible as shotgun metagenomic despite explicit gut/fecal body site confirmation.	Anser erythropus	1	METATRANSCRIPTOMIC	AMPLICON	Metagenomic analysis of gut microbiota and antibiotic-resistant genes in Anser erythropus wintering at Shengjin and Caizi Lakes in China.	EXCLUDED
PRJNA904819	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The library_strategy is explicitly AMPLICON, which indicates 16S/marker gene sequencing rather than shotgun metagenomics (WGS/METAGENOMIC), regardless of the gut body site being explicitly stated in the biome label and sample titles.	Mus musculus	124	METAGENOMIC	AMPLICON	Biotin Deficiency Induces Intestinal Dysbiosis Associated with an Inflammatory Bowel Disease-like Phenotype.	EXCLUDED
PRJNA923763	NOT_METAGENOMIC	high	explicit	library_source: METATRANSCRIPTOMIC; library_strategy: RNA-Seq	This is a metatranscriptomic (RNA) study using RNA-Seq, not shotgun metagenomic DNA sequencing, so it does not qualify as a WGS metagenomic study despite the gut microbiome context being explicit.	Nomascus annamensis	10	METATRANSCRIPTOMIC	RNA-Seq	Metatranscriptomic Analyses Reveal Important Roles of the Gut Microbiome in Primate Dietary Adaptation.	EXCLUDED
PRJNA884174	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The library_strategy is AMPLICON, which indicates 16S rRNA gene sequencing rather than shotgun metagenomics (WGS), despite the metagenomic framing in the title and biome labels.	Mus musculus	34	METAGENOMIC	AMPLICON	Anti-PD-L1 Antibody and/or 17β-Estradiol Treatment Induces Changes in the Gut Microbiome in MC38 Colon Tumor Model.	EXCLUDED
PRJNA866156	NOT_METAGENOMIC	high	none	library_strategy: AMPLICON	AMPLICON sequencing (16S rRNA) is explicitly stated and is not shotgun metagenomic sequencing, regardless of the paper's focus on gut microbiome changes in rats.	Rattus norvegicus	55	GENOMIC	AMPLICON	Intake of slow-digesting carbohydrates is related to changes in the microbiome and its functional pathways in growing rats with obesity induced by diet.	EXCLUDED
PRJNA733698	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The library_strategy is explicitly marked as AMPLICON, which is 16S/targeted amplicon sequencing, not shotgun metagenomic sequencing (WGS/METAGENOMIC), despite the biome label and paper title suggesting gut microbiome content.	Not Applicable	16	METAGENOMIC	AMPLICON	Polystyrene microplastics induce gut microbiome and metabolome changes in Javanese medaka fish (Oryzias javanicus Bleeker, 1854).	EXCLUDED
PRJNA822929	GUT_WGS	high	explicit	Biome label: 'bovine gut metagenome'; Paper title states 'gut microbiome'; library_source: 'METAGENOMIC'; library_strategy: 'POOLCLONE' (shotgun approach)	The biome label explicitly identifies this as gut metagenome, the paper title explicitly mentions gut microbiome, the library source is metagenomic (community DNA), and the pooling strategy indicates shotgun sequencing of the microbial community.	Bos grunniens	10	METAGENOMIC	POOLCLONE	Multi-omics analyses reveal that the gut microbiome and its metabolites promote milk fat synthesis in Zhongdian yak cows.	CONFIRMED_GUT
PRJEB40819	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The library_strategy is explicitly AMPLICON, which is 16S/amplicon sequencing, not shotgun/WGS metagenomic sequencing required for GUT_WGS classification.		63	GENOMIC	AMPLICON	Microbiome-mediated fructose depletion restricts murine gut colonization by vancomycin-resistant Enterococcus.	EXCLUDED
PRJEB40849	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The study uses AMPLICON sequencing strategy (16S), not shotgun/WGS metagenomic sequencing, so it does not qualify as a shotgun metagenomic study despite targeting the mouse gut microbiome.		30	GENOMIC	AMPLICON	Microbiome-mediated fructose depletion restricts murine gut colonization by vancomycin-resistant Enterococcus.	EXCLUDED
PRJEB40858	NOT_METAGENOMIC	high	explicit	library_source: METATRANSCRIPTOMIC; library_strategy: RNA-Seq	This is a metatranscriptomic (RNA-Seq) study, not shotgun metagenomic (DNA) sequencing, so it does not qualify as WGS metagenomics despite the gut body site being explicitly stated.		72	METATRANSCRIPTOMIC	RNA-Seq	Microbiome-mediated fructose depletion restricts murine gut colonization by vancomycin-resistant Enterococcus.	EXCLUDED
PRJEB40866	GUT_WGS	high	explicit	Isolation source(s): mouse cecum; library_strategy: WGS; library_source: GENOMIC; Paper title explicitly mentions 'murine gut colonization'	WGS metagenomic sequencing (shotgun) of mouse cecal samples, which is an explicit gut-proxy body site, classifies this as a shotgun metagenomics study of an animal gut microbiome.	Alistipes sp. CU970	5	GENOMIC	WGS	Microbiome-mediated fructose depletion restricts murine gut colonization by vancomycin-resistant Enterococcus.	CONFIRMED_GUT
PRJNA693413	UNCERTAIN	low	inferred	Paper title mentions 'gut microbial taxa' and 'pig model'; ENA study title states 'pig metagenome'; library_source is 'METATRANSCRIPTOMIC' (not METAGENOMIC); library_strategy is 'OTHER' (not WGS or METAGENOMIC)	While the paper title and biome label strongly suggest gut microbiome of pig, the library_source is explicitly METATRANSCRIPTOMIC (RNA-based) rather than METAGENOMIC (DNA-based shotgun), and library_strategy is OTHER rather than WGS/METAGENOMIC, making this potentially a metatranscriptomics study rather than shotgun metagenomics, which disqualifies it from GUT_WGS classification.	growing pigs	16	METATRANSCRIPTOMIC	OTHER	Reduction of Redox Potential Exerts a Key Role in Modulating Gut Microbial Taxa and Function by Dietary Supplementation of Pectin in a Pig Model.	REVIEW
PRJNA861720	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	Although the study targets fecal microbiota of a pig (Sus scrofa), the library_strategy is explicitly AMPLICON, which is 16S rRNA gene sequencing, not shotgun metagenomics (WGS), and therefore does not qualify as GUT_WGS.	Sus scrofa	8	METAGENOMIC	AMPLICON	Reduction of Redox Potential Exerts a Key Role in Modulating Gut Microbial Taxa and Function by Dietary Supplementation of Pectin in a Pig Model.	EXCLUDED
PRJNA876956	GUT_WGS	high	explicit	ENA study title: 'gut metagenome'; Biome label: 'gut metagenome'; Isolation source: 'Gut sample'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'	Multiple explicit statements confirm shotgun metagenomic sequencing (WGS + METAGENOMIC library source) of gut microbiome from animal host Nannospalax galili.	Nannospalax galili	12	METAGENOMIC	WGS	Host diet shapes functionally differentiated gut microbiomes in sympatric speciation of blind mole rats in Upper Galilee, Israel.	CONFIRMED_GUT
PRJNA855620	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The study used AMPLICON sequencing (16S rRNA), not shotgun/WGS metagenomic sequencing, which disqualifies it from the GUT_WGS category regardless of the gut sample presence.	Homo sapiens	59	GENOMIC	AMPLICON	The oral-gut axis: Salivary and fecal microbiome dysbiosis in patients with inflammatory bowel disease.	EXCLUDED
PRJNA736988	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The study used AMPLICON sequencing (16S rRNA), not shotgun/WGS metagenomic sequencing, despite the metagenomic framing in titles and biome labels.	Sciaenops ocellatus	16	METAGENOMIC	AMPLICON	Dietary Supplementation of a Commercial Prebiotic, Probiotic and Their Combination Affected Growth Performance and Transient Intestinal Microbiota of Red Drum (Sciaenops ocellatus L.).	EXCLUDED
PRJNA734720	GUT_WGS	high	explicit	Isolation source: 'feces'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'; Paper title mentions 'gut microbiota in rats'	The study explicitly reports fecal samples analyzed via shotgun metagenomic sequencing (WGS) from rats, and the paper title explicitly names the gut microbiota as the subject.	rats	79	METAGENOMIC	WGS	Dynamics of the gut microbiota in rats after hypobaric hypoxia exposure.	CONFIRMED_GUT
PRJNA862309	GUT_WGS	high	explicit	ENA study title: 'Intestinal microbiota metagenome raw sequences of Penaeus vannamei'; Biome label: 'shrimp gut metagenome'; Isolation source: 'intestine'; library_source: 'METAGENOMIC'	Multiple explicit statements confirm shotgun metagenomic sequencing of the intestinal/gut microbiota of a shrimp (Penaeus vannamei/Litopenaeus vannamei).	Penaeus vannamei	12	METAGENOMIC	OTHER	Integration of metagenomic and metabolomic insights into the effects of microcystin-LR on intestinal microbiota of Litopenaeus vannamei.	CONFIRMED_GUT
PRJNA786015	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The library_strategy is explicitly AMPLICON, which indicates 16S/targeted amplicon sequencing, not shotgun WGS metagenomic sequencing; therefore this study does not qualify as a shotgun metagenomic study regardless of the gut-associated body sites mentioned.	Homo sapiens	3	GENOMIC	AMPLICON	Rural environment reduces allergic inflammation by modulating the gut microbiota.	EXCLUDED
PRJNA681986	GUT_WGS	high	explicit	Paper title states 'large intestine bacterial community'; ENA study titles contain 'Fecal'; biome label is 'bovine gut metagenome'; library_source is 'METAGENOMIC'	Multiple explicit references to fecal and gut origin combined with metagenomic sequencing method clearly establish this as a shotgun metagenomic study of cattle gut microbiome.	Bos taurus	70	METAGENOMIC	OTHER	A global phylogenomic and metabolic reconstruction of the large intestine bacterial community of domesticated cattle.	CONFIRMED_GUT
PRJNA765929	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The library_strategy is explicitly AMPLICON, which indicates 16S amplicon sequencing, not shotgun metagenomics (WGS/METAGENOMIC), despite the metagenomic source label and gut body site.	BALB/c mice	2	METAGENOMIC	AMPLICON	Commensal Fungus Candida albicans Maintains a Long-Term Mutualistic Relationship with the Host To Modulate Gut Microbiota and Metabolism.	EXCLUDED
PRJNA811648	GUT_WGS	high	explicit	ENA study title: 'gut microbiota sample'; Biome label: 'gut metagenome'; Sample title: 'gut microbiota sample'; library_source: GENOMIC; library_strategy: WGS	Multiple explicit statements identify this as a shotgun metagenomic study of gut microbiota (WGS strategy on community DNA from gut samples).	missing	16	GENOMIC	WGS	Multi-omics insights reveal the remodeling of gut mycobiome with P. gingivalis.	CONFIRMED_GUT
PRJNA669162	GUT_WGS	medium	inferred	Paper title: 'Integrated multi-omics reveal important roles of gut contents in intestinal ischemia-reperfusion induced injuries in rats.' Library_source: METAGENOMIC. Library_strategy: WGS. Host: Rattus norvegicus.	The paper title explicitly mentions 'gut contents' and 'intestinal' injury in rats, combined with shotgun metagenomic sequencing (WGS + METAGENOMIC library), clearly indicating a gut microbiome study; confidence is medium rather than high because the actual sample body site field is not populated in the metadata (inferred from title only).	Rattus norvegicus	47	METAGENOMIC	WGS	Integrated multi-omics reveal important roles of gut contents in intestinal ischemia-reperfusion induced injuries in rats.	CONFIRMED_GUT
