study_accession	keep	gut	gut_conf	body_site	host_verdict	host	is_human	method_note	n_wgs_samples	library_source	llm_notes
PRJNA379709	KEEP	yes	high	gut_explicit	single_clear	Mus musculus	False	agree	4	METAGENOMIC	GUT: yes (high) — Paper title explicitly states 'Gut Microbiome'; biome label 'mouse gut metagenome'; sample titles specify 'Cecal DNA content' (cecum is part of the gut); library_source is METAGENOMIC (community DNA, not host genome). || BODY_SITE: gut_explicit — Sample titles explicitly state 'Cecal DNA' and 'Cecal RNA content'. The cecum is a defined gut compartment. Biome label confirms 'mouse gut metagenome'. || HOST: Mus musculus [single_clear] — Host field: Mus musculus. Host species in samples (1 distinct): Mus musculus. All sample titles refer to 'Mouse 129 Strain SMAD3+/+', indicating a single inbred mouse strain used as experimental model. || METHOD: agree — WGS/shotgun sample count is 4; library_strategy_mix shows WGS:4, confirming 4 WGS samples. library_source is METAGENOMIC, consistent with gut microbiome community DNA analysis. No mismatch between stated methods and ENA fields. || SUMMARY: This is a genuine animal (mouse) gut microbiome WGS study examining functional changes in cecal microbiota associated with TGF-β deficiency and colon cancer. Single host species (Mus musculus), explicit cecal sampling, and metagenomic sequencing all clearly documented.
PRJNA806482	KEEP	yes	high	gut_explicit	single_clear	rat	False	agree	18	METAGENOMIC	GUT: yes (high) — Biome label 'feces metagenome' and isolation source 'feces' explicitly indicate gut-derived samples. Library source marked METAGENOMIC (community DNA, not single organism genome). WGS shotgun sequencing applied to 18 samples from fecal material. || BODY_SITE: gut_explicit — Biome label states 'feces metagenome'; isolation source explicitly 'feces'. Feces is unambiguously a gut-derived sample. || HOST: rat [single_clear] — Host field uniformly stated as 'RAT'. No multi-host or incidental indicators present. All 18 samples derive from the same declared host taxon (rat). No contradictory species identifications in sample data. || METHOD: agree — ENA records show library_strategy_mix of WGS (18 samples), library_source METAGENOMIC, matching shotgun metagenomics of fecal microbial communities. No mismatch between declared method and metadata. || SUMMARY: This is a straightforward rat fecal metagenomics study with 18 WGS shotgun samples. The gut origin, host identity, and sequencing method are all clearly and consistently documented.
PRJNA873123	KEEP	yes	high	gut_explicit	single_clear	Gallus gallus	False	agree	32	METAGENOMIC	GUT: yes (high) — Biome label explicitly states 'chicken gut metagenome'; library_source is METAGENOMIC (community DNA, not single organism); 32 WGS samples of shotgun metagenomics from gut microbiome community. || BODY_SITE: gut_explicit — Biome label field explicitly identifies 'chicken gut metagenome'; no competing body site claims. || HOST: Gallus gallus [single_clear] — Host field states 'Gallus gallus'; host species in samples shows 1 distinct species: Gallus gallus; all 32 WGS samples from single host taxon (domestic chicken). || METHOD: agree — ENA fields indicate WGS/shotgun with library_source=METAGENOMIC and 32 WGS samples; no contradictions in method description available. || SUMMARY: This is a straightforward single-host animal gut metagenomics study of domestic chicken (Gallus gallus) with 32 shotgun metagenomic samples explicitly labeled as chicken gut metagenome. All four criteria are well-supported by the provided metadata.
PRJDB9383	REVIEW	yes	high	gut_explicit	single_clear	Mus musculus	False	mismatch	7	METAGENOMIC	GUT: yes (high) — Biome label explicitly states 'mouse gut metagenome'; sample titles reference 'mice fecal' samples; library_source is METAGENOMIC (community DNA); this is a genuine microbiome study of animal gut. || BODY_SITE: gut_explicit — Biome label: 'mouse gut metagenome'; sample titles explicitly state 'mice fecal' origin (fecal is unambiguous gut proxy). || HOST: Mus musculus [single_clear] — Host field and host species in samples both state 'Mus musculus' (1 distinct species); no indication of multi-host survey; this is a focused mouse gut study. || METHOD: mismatch — Sample titles repeatedly mention '16S rRNA isolated from mice fecal', indicating 16S rRNA amplicon sequencing; however, library_strategy_mix shows WGS:7 and WGA:1 (8 samples total are non-WGS). 16S is amplicon sequencing, not WGS/shotgun metagenomic sequencing. The stated WGS count of 7 conflicts with samples described as 16S rRNA. || SUMMARY: This is a genuine mouse gut microbiome study with fecal samples from Mus musculus. However, there is a critical mismatch: the sample titles describe 16S rRNA amplicon sequencing, which contradicts the ENA library_strategy_mix classification as WGS shotgun data. The study design appears focused on 16S-based community profiling rather than whole-genome shotgun metagenomics.
PRJNA947387	KEEP	yes	high	gut_explicit	single_clear	C57BL/6J	False	agree	27	METAGENOMIC	GUT: yes (high) — Biome label explicitly states 'feces metagenome'; library_source is METAGENOMIC (community DNA, not single organism); WGS strategy confirms shotgun metagenomics approach on 27 samples. || BODY_SITE: gut_explicit — Biome label directly states 'feces metagenome'; feces is an unambiguous gut site. || HOST: C57BL/6J [single_clear] — Host field explicitly lists 'C57BL/6J', a well-defined inbred laboratory mouse strain. Sample titles (control1–control5) indicate a single-host study design, not a multi-host survey. || METHOD: agree — WGS/shotgun strategy (27 samples) matches library_strategy_mix (WGS:27); METAGENOMIC source aligns with feces metagenome biome label; no contradictions detected. || SUMMARY: This is a genuine, single-host mouse gut metagenomics study using shotgun WGS on fecal samples. The host, body site, and method are all consistently supported by the metadata.
PRJNA1211805	REVIEW	yes	high	gut_explicit	single_clear	Sus scrofa	False	mismatch	0	METAGENOMIC	GUT: yes (high) — Title explicitly states 'porcine faecal microbiome'; abstract confirms 'gut microbiome' study examining 'faecal microbiomes' using 'shotgun sequencing'; library_source is METAGENOMIC (community DNA); biome label includes 'gut metagenome'; isolation source lists 'feces'. || BODY_SITE: gut_explicit — Title and abstract explicitly reference 'faecal microbiome' and 'faecal microbiomes'; biome label includes 'gut metagenome'; isolation source explicitly lists 'feces'. || HOST: Sus scrofa [single_clear] — Host species field states '1 distinct' species: Sus scrofa (domestic pig); title confirms 'porcine' (pig) study; abstract describes study across 18 farms but all samples are from the same host species. || METHOD: mismatch — Abstract and title state 'shotgun sequencing' was used, but ENA fields show WGS/shotgun sample count: 0 and library_strategy_mix lists only WGA (whole genome amplification, n=78). WGA is not equivalent to shotgun sequencing. This discrepancy suggests either metadata recording error or method description mismatch. || SUMMARY: This is a genuine animal (pig) gut microbiome study using fecal samples analyzed by metagenomic sequencing across multiple commercial farms. However, there is a notable discrepancy between the stated shotgun sequencing method and the ENA library strategy field showing only WGA with zero WGS samples.
PRJNA820553	KEEP	yes	high	gut_explicit	multi_host	Equus asinus (donkey) + bird + unspecified herbivores	False	agree	15	METAGENOMIC	GUT: yes (high) — Biome label explicitly states 'feces metagenome'; library_source is METAGENOMIC (community DNA, not single organism); sample titles reference 'ancient donkey feces' and 'ancient herbivore feces', confirming gut-derived samples from animals. || BODY_SITE: gut_explicit — Biome label: 'feces metagenome'; isolation source 'Chehrabad salt mine' with sample titles explicitly identifying 'donkey feces' and 'herbivore feces' as the sample material. || HOST: Equus asinus (donkey) + bird + unspecified herbivores [multi_host] — Host field states 'Equus asinus' (donkey), but sample titles include 'ancient bird feces', 'ancient donkey feces', 'ancient unknown origin feces', indicating multiple host origins. Host species in samples lists only 1 distinct (Equus asinus), suggesting metagenomic classification assigned most samples to donkey, but titles suggest a heterogeneous collection. Inferring this is a comparative/survey study of ancient fecal material from multiple animals recovered from the same archaeological site. || METHOD: agree — library_strategy_mix shows WGS:15; library_source is METAGENOMIC; 15 WGS/shotgun samples recorded. This matches expected shotgun metagenomics approach for fecal community DNA. || SUMMARY: This is a legitimate animal gut microbiome study of ancient feces from the Chehrabad salt mine. Multiple host origins (donkey, bird, unknown herbivores) are represented, making this a multi-host study rather than a single-species investigation. Metagenomic shotgun sequencing is appropriate and consistently documented.
PRJEB41657	KEEP	yes	high	gut_explicit	single_clear	Salmo salar	False	agree	359	METAGENOMIC	GUT: yes (high) — Paper title explicitly states 'Atlantic salmon ... gut microbiome'; abstract confirms study of 'gut microbiome compositions'; biome label listed as 'fish gut metagenome'; body site specified as 'Distal gut content'. This is a genuine animal gut microbiome study. || BODY_SITE: gut_explicit — Body site field explicitly states 'Distal gut content'; paper title references 'gut microbiome'; biome label confirms 'fish gut metagenome'. Sampling location is unambiguously the gut. || HOST: Salmo salar [single_clear] — Host field and host species both state 'Salmo salar' (Atlantic salmon); paper title confirms 'Atlantic salmon'; only 1 distinct host species identified across all samples. Single, clearly defined non-human fish host. || METHOD: agree — ENA library_strategy_mix shows 'WGS:359' with 359 WGS/shotgun samples; library_source is 'METAGENOMIC' (indicating community DNA, not single organism genomic). Paper describes construction of 'bacterial and viral genome catalogue' from metagenomic sequencing, consistent with WGS metagenomics approach. || SUMMARY: This is a straightforward, single-host animal gut metagenomics study of Atlantic salmon (Salmo salar) at different developmental stages, with 359 WGS metagenomic samples from distal gut contents. All four criteria are clearly and consistently supported by the evidence.
PRJEB70517	KEEP	yes	high	gut_explicit	single_clear	Mus musculus	False	agree	173	METAGENOMIC	GUT: yes (high) — Biome label explicitly states 'mouse gut metagenome'; body site UBERON:colon (gut anatomical site); library_source METAGENOMIC indicates community DNA, not host genome; 173 WGS shotgun samples of metagenomic origin. || BODY_SITE: gut_explicit — Body site field lists 'UBERON:colon' (part of lower gastrointestinal tract); biome label states 'mouse gut metagenome'; colon is unambiguously a gut compartment. || HOST: Mus musculus [single_clear] — Host field states 'Mus musculus'; 2 distinct host species recorded as 'Mus musculus; control sample' where 'control sample' is a technical category, not a second biological host. Sample titles (e.g., 14378.AC025BL, 14378.AC025Post) suggest replicate or time-series sampling from Mus musculus individuals, not multi-host survey. || METHOD: agree — WGS library strategy (173 samples) with metagenomic source aligns with stated 'mouse gut metagenome' in biome label; no contradictions between ENA fields and labeled study type. || SUMMARY: This is a genuine animal gut microbiome study of laboratory mice (Mus musculus) using shotgun metagenomics. The colon sampling, metagenomic library source, and explicit 'mouse gut metagenome' label confirm gut-based microbial community profiling with no evidence of incidental sampling or body-site mislabeling.
PRJNA1047964	KEEP	yes	high	gut_explicit	single_clear	Ovis aries	False	agree	14	METAGENOMIC	GUT: yes (high) — library_source is METAGENOMIC (community DNA); biome_label is 'feces metagenome'; 14 WGS samples present. Fecal metagenomics is a standard gut microbiome protocol. || BODY_SITE: gut_explicit — biome_label explicitly states 'feces metagenome'. Feces is unambiguously gut-derived material. || HOST: Ovis aries [single_clear] — Host field: Ovis aries (domestic sheep); Host species in samples: 1 distinct (Ovis aries). All 14 samples are from the same host species. Sample titles (CRSM-YL1, CRSM-YL11, etc.) suggest individual replicates or timepoints from sheep, not multi-host survey. || METHOD: agree — ENA fields show library_strategy_mix WGS:14 (14 WGS samples); library_source METAGENOMIC (shotgun metagenomics). Consistent with stated WGS/shotgun sample count of 14. No contradictions detected. || SUMMARY: This is a genuine single-host sheep (Ovis aries) fecal metagenomics study using shotgun sequencing. The gut origin is explicit via the 'feces metagenome' biome label, and the methodology aligns with the ENA metadata.
